Order_Date,Time,Aging,Customer_Id,Gender,Device_Type,Customer_Login_type,Product_Category,Product,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Payment_method
09/05/2018,20:48:59,8,43735,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,144.1,14.4,High,credit_card
20/09/2018,20:42:44,8,14760,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.1,58.6,5.9,High,credit_card
16/01/2018,14:56:50,10,44410,Male,Web,Member,Auto & Accessories,Car Speakers,211,5,0.3,99.4,9.9,High,credit_card
08/03/2018,09:42:43,1,53552,Male,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.2,30,3,Critical,credit_card
26/11/2018,16:53:30,1,39696,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.3,28.6,2.9,High,credit_card
27/08/2018,12:55:42,3,22235,Male,Web,Member,Auto & Accessories,Tyre,250,4,0.3,120,12,Critical,debit_card
11/05/2018,13:10:51,7,42599,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.2,36,3.6,High,credit_card
22/06/2018,19:22:22,7,27079,Female,Web,Member,Auto & Accessories,Car Mat,54,1,0.3,27,2.7,Critical,credit_card
01/05/2018,08:12:37,1,57745,Male,Web,Guest,Auto & Accessories,Car Seat Covers,114,1,0.3,24.9,2.5,High,credit_card
19/02/2018,22:17:15,4,20917,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.3,104.8,10.5,Critical,credit_card
11/09/2018,22:32:31,2,54446,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,54.4,5.4,High,credit_card
20/03/2018,23:45:07,5,55746,Male,Web,Member,Auto & Accessories,Car Speakers,211,1,0.1,124.7,12.5,Critical,credit_card
22/09/2018,23:23:18,10,58534,Male,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.2,32.3,3.2,Critical,credit_card
03/11/2018,08:59:39,2,53957,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,4,0.3,19.1,1.9,Critical,credit_card
14/05/2018,08:35:33,8,53395,Male,Web,Member,Auto & Accessories,Tyre,250,4,0.3,140,14,High,credit_card
22/04/2018,11:32:22,5,52267,Male,Web,Member,Auto & Accessories,Bike Tyres,72,,0.1,36,3.6,Critical,credit_card
30/12/2018,07:50:33,7,29085,Male,Web,Member,Auto & Accessories,Car Mat,54,5,0.2,10.8,1.1,High,credit_card
05/10/2018,09:10:34,8,56399,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.3,20.3,2,High,credit_card
26/11/2018,11:04:26,5,27009,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.2,141.8,14.2,Critical,credit_card
17/05/2018,08:36:11,2,35336,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.1,58.6,5.9,Critical,credit_card
30/07/2018,22:41:44,6,26503,Male,Web,Member,Auto & Accessories,Car Speakers,211,5,0.3,99.4,9.9,Critical,money_order
01/12/2018,22:14:26,2,50579,Male,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.3,26.5,2.6,High,credit_card
06/08/2018,21:09:10,4,54326,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,5,0.3,14.4,1.4,Critical,e_wallet
28/06/2018,23:45:53,10,23420,Male,Web,Member,Auto & Accessories,Tyre,250,1,0.3,132.5,13.3,High,credit_card
27/06/2018,22:04:34,6,32534,Male,Web,Member,Auto & Accessories,Bike Tyres,72,4,0.3,18,1.8,High,credit_card
01/07/2018,15:42:32,1,22902,Male,Web,Member,Auto & Accessories,Car Mat,54,5,0.1,10.8,1.1,Critical,credit_card
27/02/2018,12:07:22,1,31526,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.2,29.4,2.9,Critical,credit_card
28/04/2018,21:00:44,7,40170,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.2,137.1,13.7,Critical,money_order
01/08/2018,12:31:21,6,18701,Male,Web,Member,Auto & Accessories,Car Media Players,140,4,0.3,43.2,4.3,Medium,credit_card
22/11/2018,16:10:29,10,10773,Male,Web,Member,Auto & Accessories,Car Speakers,211,1,0.3,99.4,9.9,Critical,credit_card
06/07/2018,23:36:15,4,41607,Female,Web,Member,Auto & Accessories,Car Body Covers,117,5,0.3,7.8,0.8,Critical,credit_card
09/05/2018,18:27:00,2,26936,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.1,34.5,3.4,Medium,debit_card
26/04/2018,17:49:46,10,56518,Male,Web,Member,Auto & Accessories,Tyre,250,5,0.1,157.5,15.8,High,credit_card
27/10/2018,23:11:57,9,44722,Female,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.3,36,3.6,High,credit_card
23/06/2018,10:32:39,5,39332,Male,Web,Member,Auto & Accessories,Car Mat,54,4,0.2,13.5,1.4,High,credit_card
20/11/2018,18:24:30,7,39095,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,5,0.3,5.5,0.6,High,credit_card
30/06/2018,07:51:17,1,55428,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,4,0.2,132.5,13.3,Critical,credit_card
30/12/2018,14:20:46,1,16481,Male,Web,Guest,Auto & Accessories,Car Media Players,140,1,0.3,54.4,5.4,High,credit_card
07/12/2018,23:00:33,8,23129,Male,Web,Member,Auto & Accessories,Car Speakers,211,1,0.3,105.7,10.6,High,credit_card
08/05/2018,22:12:34,7,39272,Male,Web,Member,Auto & Accessories,Car Body Covers,117,5,0.1,31.2,3.1,Critical,credit_card
30/12/2018,14:46:00,8,54296,Male,Web,Guest,Auto & Accessories,Car & Bike Care,118,5,0.3,20.3,2,High,credit_card
24/04/2018,21:55:22,5,50254,Male,Web,Member,Auto & Accessories,Tyre,250,4,0.3,120,12,High,e_wallet
25/09/2018,22:18:10,6,42386,Male,Web,Member,Auto & Accessories,Bike Tyres,72,4,0.3,18,1.8,Critical,credit_card
16/07/2018,10:27:45,7,16296,Male,Web,Member,Auto & Accessories,Car Mat,54,1,0.1,54,5.4,High,money_order
21/04/2018,12:08:32,7,43547,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.2,27.2,2.7,High,credit_card
19/01/2018,15:08:48,10,58155,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.1,148.7,14.9,Critical,money_order
22/07/2018,15:19:05,9,46686,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.1,58.6,5.9,High,credit_card
02/03/2018,14:28:03,1,39372,Male,Web,Guest,Auto & Accessories,Car Speakers,211,1,0.1,124.7,12.5,High,credit_card
26/12/2018,09:14:26,3,23926,Male,Web,Member,Auto & Accessories,Car Body Covers,117,5,0.3,13.6,1.4,High,credit_card
09/06/2018,06:37:43,3,59723,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,5,0.2,26.2,2.6,Medium,credit_card
06/08/2018,18:25:39,2,13656,Male,Web,Member,Auto & Accessories,Tyre,250,1,0.2,155,15.5,High,money_order
18/07/2018,13:39:54,3,47245,Male,Web,Member,Auto & Accessories,Bike Tyres,72,5,0.3,14.4,1.4,Critical,credit_card
28/12/2018,16:03:34,7,26200,Male,Web,Member,Auto & Accessories,Car Mat,54,1,0.2,54,5.4,High,credit_card
08/10/2018,12:19:58,9,34771,Male,Web,Guest,Auto & Accessories,Car Seat Covers,114,5,0.3,5.5,0.6,Critical,e_wallet
10/07/2018,12:23:05,4,30722,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.2,141.8,14.2,Critical,money_order
16/05/2018,16:10:21,6,46226,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,55.8,5.6,High,credit_card
05/07/2018,18:40:47,10,31323,Male,Web,Member,Auto & Accessories,Car Speakers,211,4,0.2,114.1,11.4,Critical,credit_card
20/02/2018,17:12:34,6,57896,Male,Web,Member,Auto & Accessories,Car Body Covers,117,5,0.3,13.6,1.4,Critical,credit_card
21/08/2018,17:15:49,1,52183,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,5,0.3,14.4,1.4,Critical,credit_card
10/06/2018,14:18:40,3,16327,Male,Web,Member,Auto & Accessories,Tyre,250,4,0.3,120,12,Medium,e_wallet
26/09/2018,16:14:11,2,31345,Male,Web,Member,Auto & Accessories,Bike Tyres,72,5,0.3,14.4,1.4,Critical,credit_card
27/04/2018,19:24:52,2,17243,Female,Web,Member,Auto & Accessories,Car Mat,54,5,0.3,10.8,1.1,Medium,credit_card
11/05/2018,16:35:19,3,27820,Male,Web,Guest,Auto & Accessories,Car Seat Covers,114,4,0.3,11.2,1.1,Critical,money_order
25/05/2018,08:54:21,4,58874,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,139.5,13.9,Critical,credit_card
26/04/2018,09:32:06,7,28090,Male,Web,Member,Auto & Accessories,Car Media Players,140,5,0.1,53,5.3,Critical,money_order
17/04/2018,21:14:42,5,44331,Male,Web,Member,Auto & Accessories,Car Speakers,211,5,0.3,88.8,8.9,High,credit_card
23/07/2018,18:27:07,6,46006,Male,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.2,34.7,3.5,Critical,credit_card
14/08/2018,13:05:17,3,22080,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,5,0.3,8.5,0.9,Medium,credit_card
30/09/2018,22:43:56,5,41793,Male,Web,Member,Auto & Accessories,Tyre,250,1,0.3,160,16,Critical,credit_card
15/05/2018,16:29:03,8,28996,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.2,24,2.4,High,credit_card
22/07/2018,19:16:47,3,36277,Male,Web,Member,Auto & Accessories,Car Mat,54,4,0.3,13.5,1.4,High,credit_card
24/10/2018,19:01:52,2,45487,Male,Web,Guest,Auto & Accessories,Car Seat Covers,114,4,0.3,15.8,1.6,Critical,money_order
02/07/2018,12:54:20,10,13020,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,144.1,14.4,Critical,credit_card
06/12/2018,00:14:28,6,52525,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.1,58.6,5.9,High,credit_card
04/01/2018,23:02:21,2,29479,Male,Web,Member,Auto & Accessories,Car Speakers,211,5,0.3,99.4,9.9,High,credit_card
21/03/2018,17:43:41,8,16029,Female,Web,Member,Auto & Accessories,Car Body Covers,117,4,0.1,32.3,3.2,Critical,money_order
02/08/2018,16:15:41,2,37402,Male,Web,Guest,Auto & Accessories,Car & Bike Care,118,1,0.3,32.1,3.2,Critical,money_order
01/10/2018,11:26:06,4,53794,Male,Web,Member,Auto & Accessories,Tyre,250,1,0.1,162.5,16.3,Medium,credit_card
09/11/2018,16:23:03,1,32178,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.1,24,2.4,High,credit_card
15/04/2018,13:47:34,9,58607,Male,Web,Member,Auto & Accessories,Car Mat,54,5,0.3,10.8,1.1,Medium,credit_card
26/09/2018,11:59:05,9,20045,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.1,31.7,3.2,High,credit_card
15/07/2018,12:37:12,3,15311,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,4,0.3,123.3,12.3,Critical,credit_card
30/05/2018,22:33:08,6,48474,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,55.8,5.6,Critical,credit_card
02/03/2018,14:08:33,1,20784,Male,Web,Member,Auto & Accessories,Car Speakers,211,1,0.2,122.6,12.3,Medium,money_order
29/12/2018,14:27:41,9,13649,Male,Web,Member,Auto & Accessories,Car Body Covers,117,4,0.2,27.6,2.8,Critical,e_wallet
25/10/2018,15:36:18,7,45439,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.1,36.8,3.7,Critical,credit_card
11/02/2018,07:54:38,1,34182,Male,Web,Member,Auto & Accessories,Tyre,250,5,0.2,145,14.5,Critical,e_wallet
15/09/2018,19:42:06,1,30880,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.3,72,7.2,High,credit_card
13/06/2018,08:19:23,2,52427,Male,Web,Member,Auto & Accessories,Car Mat,54,5,0.3,10.8,1.1,Critical,money_order
04/09/2018,08:39:50,5,55136,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.3,24.9,2.5,High,credit_card
26/02/2018,12:32:39,1,47162,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,4,0.2,132.5,13.3,High,credit_card
28/08/2018,17:00:28,8,56059,Male,Web,Member,Auto & Accessories,Car Media Players,140,4,0.2,48.8,4.9,Critical,credit_card
22/09/2018,19:26:47,8,27239,Female,Web,Member,Auto & Accessories,Car Speakers,211,4,0.1,122.6,12.3,Medium,credit_card
13/02/2018,09:18:50,5,49838,Male,Web,Member,Auto & Accessories,Car Body Covers,117,5,0.3,19.5,1.9,High,credit_card
18/06/2018,09:30:54,1,48939,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,5,0.1,32.1,3.2,High,credit_card
14/12/2018,16:25:43,5,37902,Male,Web,Member,Auto & Accessories,Tyre,250,5,0.3,132.5,13.3,High,money_order
20/03/2018,12:30:40,10,31091,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.3,36,3.6,Critical,money_order
04/03/2018,17:24:57,5,36695,Male,Web,Guest,Auto & Accessories,Car Mat,54,1,0.3,27,2.7,High,credit_card
03/11/2018,22:23:06,10,52162,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.3,27.2,2.7,Critical,money_order
29/12/2018,14:29:44,10,22796,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,139.5,13.9,High,credit_card
18/05/2018,20:59:24,6,20028,Male,Web,Member,Auto & Accessories,Car Media Players,140,5,0.3,25,2.5,High,credit_card
16/10/2018,00:22:49,2,38370,Female,Web,Member,Auto & Accessories,Car Speakers,211,1,0.2,126.8,12.7,High,e_wallet
05/07/2018,09:16:49,2,47033,Male,Web,Member,Auto & Accessories,Car Body Covers,117,5,0.3,13.6,1.4,Medium,e_wallet
27/07/2018,12:45:51,2,55217,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,4,0.3,23.8,2.4,Critical,credit_card
08/07/2018,14:12:08,3,24701,Male,Web,Member,Auto & Accessories,Tyre,250,4,0.3,120,12,Critical,credit_card
15/12/2018,16:59:11,8,17706,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.1,24,2.4,Critical,money_order
25/10/2018,19:30:09,2,59762,Male,Web,Member,Auto & Accessories,Car Mat,54,5,0.2,10.8,1.1,High,credit_card
28/08/2018,21:27:43,1,43985,Male,Web,Guest,Auto & Accessories,Car Seat Covers,114,1,0.3,28.3,2.8,Critical,credit_card
16/09/2018,21:07:16,4,38808,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.2,127.9,12.8,Medium,credit_card
15/05/2018,19:55:51,7,56608,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.1,55.8,5.6,Medium,credit_card
13/07/2018,15:45:51,2,56673,Male,Web,Member,Auto & Accessories,Car Speakers,211,4,0.3,105.7,10.6,High,money_order
01/11/2018,18:52:12,5,31345,Female,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.2,32.3,3.2,Critical,credit_card
21/07/2018,12:49:32,6,25891,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.2,33.3,3.3,Critical,credit_card
09/12/2018,22:17:49,8,51017,Female,Web,Member,Auto & Accessories,Tyre,250,5,0.3,120,12,Medium,credit_card
09/03/2018,17:27:58,7,20674,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.3,24,2.4,Medium,credit_card
01/11/2018,10:48:19,10,18692,Male,Web,Member,Auto & Accessories,Car Mat,54,1,0.3,54,5.4,Medium,credit_card
09/09/2018,13:56:45,2,14583,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.3,23.7,2.4,Medium,credit_card
10/08/2018,19:27:28,8,16602,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,130.2,13,Medium,credit_card
27/09/2018,11:08:59,7,25626,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.1,58.6,5.9,Critical,credit_card
06/03/2018,15:26:09,2,32994,Male,Web,Member,Auto & Accessories,Car Speakers,211,1,0.2,118.3,11.8,Medium,credit_card
30/04/2018,22:37:50,4,58813,Male,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.3,26.5,2.6,High,credit_card
05/10/2018,13:24:46,10,38300,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,4,0.1,33.3,3.3,Critical,money_order
12/02/2018,16:32:09,1,40978,Male,Web,Member,Auto & Accessories,Tyre,250,1,0.1,162.5,16.3,Critical,credit_card
22/07/2018,22:30:05,8,58697,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.3,24,2.4,Medium,credit_card
